"pathway","group","location","estimate","probability","ci_lower","ci_upper","p_value","significant"
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","EASTPORT, ID (3302)",4.40602159764962,0.0175807376264786,0.00110922919387074,0.22383628616591,1.17932931786445e-05,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","FORT FAIRFIELD, ME (0107)",-12.1368326089417,1.17022649339305e-09,0,1,0.986478133287899,FALSE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","GRAND PORTAGE, MN (3613)",2.24097178957614,0.00204918032785984,6.87867967154865e-05,0.0577526656853171,0.113260377648245,FALSE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","HIGHGATE SPRINGS/ALBURG (0212)",2.29209807591494,0.00215643991373809,0.000126939856925379,0.0354819144025797,0.0282282439899909,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","HOULTON, ME (0106)",1.36847346455066,0.000857387825088463,4.29633324891797e-05,0.0168501113938267,0.236053560122988,FALSE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","INTERNATIONAL FALLS, MN (3604)",2.69528802367215,0.00322385653837421,0.000193668718182876,0.0512354996138349,0.00894114975262736,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","JACKMAN, ME (0104)",3.61164613871941,0.00802139037429652,0.000477099598656741,0.120482232202102,0.000523315440885758,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","LYNDEN, WA (3023)",-12.1368326090179,1.17022649330395e-09,4.70045386834776e-267,1,0.967984403503519,FALSE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","OROVILLE, WA (3019)",4.44385417546748,0.0182462356066891,0.00115288346662936,0.230333701217015,9.79887008227412e-06,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","PEMBINA, ND (3401)",3.55042920114236,0.00754866905044417,0.000466759851891773,0.110230910852919,0.00045849596316109,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","PORT HURON, MI (3802)",-0.0669379115331045,0.00020420665713619,9.207500049129e-06,0.0045103288889185,0.956418309691544,FALSE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","PORTAL, ND (3403)",3.9907808857294,0.0116762319414239,0.000729499307648034,0.160503348801172,7.60334999979693e-05,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","PORTHILL, ID (3308)",-12.1368326078936,1.17022649461959e-09,0,1,0.974585480662409,FALSE
